2026-05-18 17:21:17 | INFO | main | 数据库 Schema 自动检查/修复完成
2026-05-18 17:21:17 | INFO | mail_scheduler | [scheduler] loaded 0 schedules from DB
2026-05-18 17:21:17 | INFO | apscheduler.scheduler | Scheduler started
2026-05-18 17:21:17 | INFO | mail_scheduler | [scheduler] started
2026-05-18 17:21:17 | INFO | main | 邮件同步表初始化完成，调度器已启动
2026-05-18 17:21:17 | INFO | kb_evaluation_worker | Knowledge Base Evaluation Worker started.
2026-05-18 17:21:17 | INFO | main | 启动企微会话存档 15 分钟异步轮询任务
2026-05-18 17:21:17 | INFO | archive_service | 企微 SDK V3 接口映射与内存模型初始化完成
2026-05-18 17:21:18 | INFO | archive_service | ARCHIVE_SYNC_SUCCESS {"session_id_filter": null, "status": "success", "msg": "同步成功：新增 2 条，跳过重复 13 条。", "inserted_count": 2, "duplicate_count": 13, "parse_failed_count": 0, "fetched_count": 15, "batch_count": 1, "current_seq": 2957056, "timings_ms": {"load_private_key_ms": 39.87, "sdk_init_ms": 0.03, "load_seq_cursor_ms": 0.2, "fetch_chat_data_ms": 474.49, "process_messages_ms": 312.91, "save_seq_cursor_ms": 0.91, "commit_ms": 18.49, "total_ms": 870.59}}
2026-05-18 17:21:19 | INFO | kb_evaluation_worker | KB Eval Worker: SQL found 106 ApiAssist and 13 Trigger candidates.
2026-05-18 17:21:48 | INFO | main | 收到侧边栏辅助请求：客服[caselib_sales_caf54fdf] -> 客户[caselib_ext_248b864f-32a] -> 请求会话[single_caselib_ext_248b864f-32a_caselib_sales_caf54fdf] -> 命中会话[single_caselib_ext_248b864f-32a_caselib_sales_caf54fdf]
